,Measured angle,Predicted angle
0,32.12240210765586,42.6
1,57.03987817026578,53.33
2,85.97399732636957,84.85
3,57.439829976606134,60.93
4,36.90877058367365,36.67
5,27.42165543620881,33.8
6,53.45929899528799,62.64
7,78.88707753372393,49.75
8,35.81217867564381,36.96
9,37.06586422298668,49.93
10,54.24237707015921,56.68
11,37.57788757424721,30.68
12,61.48874016822401,54.26
13,37.356169083193905,40.19
14,32.07940211028427,36.29
15,32.31633625838184,24.48
16,43.72092284651989,39.14
17,59.20918386240333,52.64
18,39.38586624883979,41.31
19,36.758410445010135,36.62
20,66.38940073711844,68.08
21,58.097912131178035,57.01
22,76.86309299052029,65.64
23,59.855196094765546,58.33
24,43.70798766722134,35.84
25,57.83585629880392,55.27
26,34.91056543387324,34.36
27,46.46066678752473,48.17
28,76.08263672880831,77.66
29,70.10336833410446,63.43
30,49.92606601599726,60.62
31,40.6239049922862,37.43
32,29.46254778431226,27.6
33,45.141227846609084,43.73
34,38.60697374065415,39.27
35,24.384999146666996,35.79
36,80.54428159165356,81.3
37,72.63743900030421,79.33
38,75.79398941396282,81.44
39,50.0978785505778,51.99
40,65.13725037485858,69.52
41,89.00039547165888,85.64
42,74.78020288844789,76.44
43,84.85833813347686,84.63
44,54.27169392594282,52.74
45,24.90599674955162,20.15
46,59.871040381959915,48.84
47,54.893974454881146,60.59
48,50.73612776584309,59.47
49,64.32054247515205,65.32
50,49.40982244546934,44.49
51,25.954149277670012,31.04
52,51.30601765153342,71.62
53,56.94909194607216,58.29
54,65.9343301817144,52.36
55,46.74423301744453,50.33
56,31.650884445054253,32.84
57,32.83119006075314,28.27
58,34.58781882475742,29.72
59,38.94985840538972,31.46
60,64.74995281869123,68.97
61,45.63717358172259,46.77
62,49.51477992163019,45.16
63,68.02309210080736,68.42
64,106.0293482637431,106.25
65,73.69567721687663,79.76
66,27.452191660433254,27.67
67,26.036190343412297,32.11
68,35.105060303124375,28.8
69,83.68792284485434,78.43
70,63.02463367600599,68.94
71,34.753899347532055,45.01
72,68.06001801074575,67.83
73,38.11801172303977,38.75
74,48.445065161021496,46.32
75,35.766615665281634,28.09
76,62.468370915026725,64.49
77,40.72201533293847,37.26
78,60.51054845960628,47.71
79,17.33470878288632,36.65
80,35.5973661124911,32.2
81,38.522021890211924,37.67
82,66.1515744432894,58.97
83,59.63315186290279,63.32
84,73.05866690047483,79.19
85,58.88374820943605,54.2
86,46.82314686162044,52.48
87,42.166944536587955,40.54
88,76.54204184226842,82.76
89,31.344515725742124,33.23
90,41.36201787396687,39.59
91,42.992200500049506,38.45
92,79.66208001654694,70.53
93,25.823219623196287,29.56
94,25.474504309363642,31.56
95,38.023701058407944,41.54
96,43.95486024837869,39.15
97,35.30823032353842,41.34
98,26.278824564277684,26.35
99,40.06484664212869,56.88
100,29.7066758208071,33.46
101,54.005705692952304,51.01
102,55.67442172475214,55.55
103,48.717843745650896,45.19
104,68.61076873786456,69.49
105,54.9901417022334,52.75
106,49.12824986102879,38.26
107,46.36419666616079,46.2
108,47.40562857708454,41.79
109,50.44816940798145,50.3
110,73.8399543519807,71.96
111,53.09425541551866,54.61
112,58.57637913777107,63.2
113,31.301169369651085,33.8
114,34.760218842678256,33.89
115,61.06295352347129,54.03
116,63.55554153836948,63.25
117,72.71509834698654,66.94
118,71.31132317364043,83.51
119,60.84111560257178,60.43
120,47.01754913203973,41.1
121,39.72245392327058,30.15
122,44.759246175546615,53.8
123,93.0942176661691,98.78
124,37.79152915120959,42.73
